id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,district,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019
"1",Aceh,Aceh Barat," 4,462,045 "," 4,569,067 "," 4,594,544 "," 4,773,669 "," 4,933,843 "," 5,160,041 "," 5,310,703 "," 6,013,221 "," 6,622,956 "," 6,953,361 ",Aceh Barat,"0","0","0","0","0","0","0","0","0","0"
"2",Aceh,Aceh Barat Daya," 2,236,932 "," 2,303,126 "," 2,347,145 "," 2,401,899 "," 2,428,320 "," 2,509,314 "," 2,623,751 "," 2,740,778 "," 2,867,191 "," 3,003,268 ",Aceh Barat Daya,"0","0","0","0","0","0","0","0","0","0"
"3",Aceh,Aceh Besar," 7,081,873 "," 7,265,106 "," 7,549,096 "," 7,863,467 "," 8,184,458 "," 8,513,245 "," 8,858,440 "," 9,213,402 "," 9,561,638 "," 9,977,735 ",Aceh Besar,"0","0","0","0","0","0","0","0","0","0"
"4",Aceh,Aceh Jaya," 1,422,990 "," 1,482,238 "," 1,541,268 "," 1,590,573 "," 1,649,326 "," 1,710,446 "," 1,777,002 "," 1,848,146 "," 1,922,741 "," 1,994,914 ",Aceh Jaya,"0","0","0","0","0","0","0","0","0","0"
"5",Aceh,Aceh Selatan," 2,830,606 "," 2,953,612 "," 3,115,598 "," 3,281,364 "," 3,429,429 "," 3,574,592 "," 3,740,293 "," 3,887,220 "," 4,063,405 "," 4,243,396 ",Aceh Selatan,"0","0","0","0","0","0","0","0","0","0"
"6",Aceh,Aceh Singkil," 1,211,045 "," 1,263,086 "," 1,315,931 "," 1,374,981 "," 1,426,081 "," 1,479,142 "," 1,540,654 "," 1,600,983 "," 1,664,740 "," 1,731,165 ",Aceh Singkil,"0","0","0","0","0","0","0","0","0","0"
"7",Aceh,Aceh Tamiang," 4,406,760 "," 4,474,076 "," 4,651,203 "," 4,885,619 "," 5,002,817 "," 5,134,530 "," 5,279,640 "," 5,491,009 "," 5,724,228 "," 5,984,419 ",Aceh Tamiang,"0","0","0","0","0","0","0","0","0","0"
"8",Aceh,Aceh Tengah," 3,970,994 "," 4,166,899 "," 4,347,739 "," 4,584,209 "," 4,770,082 "," 4,972,052 "," 5,200,044 "," 5,410,437 "," 5,638,960 "," 5,836,845 ",Aceh Tengah,"1","1","1","1","1","1","1","1","1","1"
"9",Aceh,Aceh Tenggara," 2,337,742 "," 2,464,463 "," 2,578,093 "," 2,704,181 "," 2,807,992 "," 2,921,131 "," 3,044,880 "," 3,197,952 "," 3,302,242 "," 3,442,064 ",Aceh Tenggara,"0","0","0","0","0","0","0","0","0","0"
"10",Aceh,Aceh Timur," 7,290,036 "," 7,479,287 "," 7,677,934 "," 7,761,221 "," 7,721,422 "," 7,259,934 "," 7,175,795 "," 7,487,535 "," 7,802,175 "," 8,146,982 ",Aceh Timur,"0","0","0","0","0","0","0","0","0","0"
"11",Aceh,Aceh Utara," 17,200,433 "," 17,867,554 "," 18,151,766 "," 17,836,613 "," 17,195,546 "," 15,184,776 "," 15,195,569 "," 15,544,943 "," 16,286,459 "," 16,852,697 ",Aceh Utara,"0","0","0","0","0","0","0","0","0","0"
"12",West Sumatera,Agam," 8,918,878 "," 9,454,745 "," 10,038,748 "," 10,656,539 "," 11,287,816 "," 11,911,295 "," 12,567,018 "," 13,249,247 "," 13,942,516 "," 14,608,894 ",Agam,"0","0","0","0","0","0","0","0","0","0"
"13",East Nusa Tenggara,Alor," 1,302,160 "," 1,375,382 "," 1,441,950 "," 1,503,156 "," 1,575,302 "," 1,651,909 "," 1,730,551 "," 1,817,735 "," 1,909,710 "," 2,007,184 ",Alor,"0","0","0","0","0","0","0","0","0","0"
"14",North Sumatera,Asahan," 16,076,729 "," 16,939,696 "," 17,872,411 "," 18,892,624 "," 20,003,079 "," 21,116,724 "," 22,302,705 "," 23,525,346 "," 24,844,872 "," 26,245,236 ",Asahan,"0","0","0","0","0","0","0","0","0","0"
"15",Papua,Asmat," 893,965 "," 972,461 "," 1,041,831 "," 1,105,752 "," 1,166,182 "," 1,222,076 "," 1,297,559 "," 1,373,503 "," 1,452,805 "," 1,522,326 ",Asmat,"0","0","0","0","0","0","0","0","0","0"
"16",Bali,Badung," 20,848,561 "," 22,322,699 "," 24,027,651 "," 25,666,532 "," 27,458,060 "," 29,170,236 "," 31,157,372 "," 33,052,048 "," 35,275,422 "," 37,326,471 ",Badung,"1","1","1","1","1","1","1","1","1","1"
"17",South Kalimantan,Balangan," 6,154,980 "," 6,699,285 "," 7,147,782 "," 7,722,400 "," 8,177,672 "," 8,374,456 "," 8,593,456 "," 8,844,751 "," 9,121,156 "," 9,409,831 ",Balangan,"0","0","0","0","0","0","0","0","0","0"
"18",West Java,Bandung," 48,431,749 "," 51,250,249 "," 54,468,157 "," 57,690,587 "," 61,100,250 "," 64,701,522 "," 68,804,851 "," 73,039,454 "," 77,613,224 "," 82,547,437 ",Bandung,"0","0","0","1","1","1","1","1","1","1"
"19",West Java,Bandung Barat," 19,322,131 "," 20,419,115 "," 21,651,879 "," 22,937,169 "," 24,264,922 "," 25,486,171 "," 26,925,876 "," 28,330,025 "," 29,888,888 "," 31,398,352 ",Bandung Barat,"0","0","0","1","1","1","1","1","1","1"
"20",Central Sulawesi  ,Banggai," 6,061,906 "," 6,824,381 "," 7,556,759 "," 8,276,980 "," 8,713,043 "," 11,510,104 "," 15,908,777 "," 17,294,283 "," 18,360,504 "," 19,450,605 ",Banggai,"0","0","0","0","0","0","0","0","0","0"
"21",Central Sulawesi  ,Banggai Kepulauan," 1,535,476 "," 1,660,817 "," 1,792,018 "," 1,920,748 "," 2,055,537 "," 2,192,338 "," 2,322,594 "," 2,461,854 "," 2,563,110 "," 2,666,089 ",Banggai Kepulauan,"0","0","0","0","0","0","0","0","0","0"
"22",Central Sulawesi  ,Banggai Laut," 930,584 "," 1,001,146 "," 1,078,050 "," 1,162,185 "," 1,253,191 "," 1,353,141 "," 1,451,929 "," 1,542,831 "," 1,617,643 "," 1,674,266 ",Banggai Laut,"0","0","0","0","0","0","0","0","0","0"
"23",Bangka Belitung Islands,Bangka," 6,551,040 "," 7,003,409 "," 7,378,161 "," 7,769,116 "," 8,143,116 "," 8,512,419 "," 8,906,228 "," 9,355,326 "," 9,778,032 "," 10,058,789 ",Bangka,"0","0","0","0","0","0","0","0","0","0"
"24",Bangka Belitung Islands,Bangka Barat," 6,816,096 "," 7,191,751 "," 7,586,484 "," 7,972,792 "," 8,349,260 "," 8,769,643 "," 9,190,201 "," 9,673,709 "," 10,177,199 "," 10,895,223 ",Bangka Barat,"0","0","0","0","0","0","0","0","0","0"
"25",Bangka Belitung Islands,Bangka Selatan," 4,169,513 "," 4,437,323 "," 4,646,026 "," 4,852,974 "," 5,068,267 "," 5,284,642 "," 5,511,788 "," 5,763,871 "," 6,024,205 "," 6,176,845 ",Bangka Selatan,"0","0","0","0","0","0","0","0","0","0"
"26",Bangka Belitung Islands,Bangka Tengah," 4,502,396 "," 4,773,137 "," 5,012,863 "," 5,178,285 "," 5,255,773 "," 5,271,867 "," 5,432,844 "," 5,620,615 "," 5,812,697 "," 5,883,096 ",Bangka Tengah,"0","0","0","0","0","0","0","0","0","0"
"27",East Java,Bangkalan," 15,881,409 "," 16,406,521 "," 16,173,679 "," 16,204,006 "," 17,369,226 "," 16,906,845 "," 17,018,647 "," 17,618,601 "," 18,361,440 "," 18,550,799 ",Bangkalan,"0","0","0","0","0","0","0","0","0","0"
"28",Bali,Bangli," 2,747,457 "," 2,916,143 "," 3,097,058 "," 3,281,162 "," 3,472,303 "," 3,686,101 "," 3,916,096 "," 4,124,222 "," 4,350,145 "," 4,587,222 ",Bangli,"1","1","1","1","1","1","1","1","1","1"
"29",South Kalimantan,Banjar," 7,605,086 "," 8,158,855 "," 8,670,838 "," 9,069,628 "," 9,530,725 "," 9,950,521 "," 10,418,681 "," 10,903,968 "," 11,450,220 "," 11,967,129 ",Banjar,"0","0","0","0","0","0","0","0","0","0"
