id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,district,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019
"43",North Sumatera,Batu Bara," 16,121,045 "," 16,946,460 "," 17,916,356 "," 18,674,622 "," 19,458,333 "," 20,264,818 "," 21,165,038 "," 22,034,259 "," 22,998,597 "," 23,998,593 ",Batu Bara,"0","0","0","0","0","0","0","0","0","0"
"44",West Java,Bekasi," 154,347,802 "," 164,538,843 "," 175,279,802 "," 186,206,590 "," 197,163,575 "," 205,950,393 "," 215,928,364 "," 228,203,599 "," 241,949,381 "," 251,502,786 ",Bekasi,"0","0","0","0","0","0","0","0","0","0"
"45",Bangka Belitung Islands,Belitung," 4,143,547 "," 4,389,151 "," 4,656,473 "," 4,934,002 "," 5,167,069 "," 5,400,941 "," 5,669,063 "," 5,969,672 "," 6,290,863 "," 6,500,417 ",Belitung,"0","0","0","0","0","0","0","0","0","0"
"46",Bangka Belitung Islands,Belitung Timur," 3,579,809 "," 3,798,788 "," 4,028,449 "," 4,258,046 "," 4,478,305 "," 4,675,207 "," 4,873,876 "," 5,110,297 "," 5,326,116 "," 5,499,978 ",Belitung Timur,"0","0","0","0","0","0","0","0","0","0"
"47",East Nusa Tenggara,Belu," 1,834,493 "," 1,913,241 "," 2,014,209 "," 2,135,804 "," 2,254,667 "," 2,374,993 "," 2,511,902 "," 2,657,049 "," 2,805,711 "," 2,956,524 ",Belu,"0","0","0","0","0","0","0","0","0","0"
"48",Aceh,Bener Meriah," 2,420,612 "," 2,528,784 "," 2,661,124 "," 2,804,613 "," 2,929,389 "," 3,070,582 "," 3,206,522 "," 3,337,606 "," 3,476,510 "," 3,626,655 ",Bener Meriah,"1","1","1","1","1","1","1","1","1","1"
"49",Riau,Bengkalis," 85,300,439 "," 91,999,289 "," 91,397,011 "," 88,411,086 "," 85,003,797 "," 82,676,674 "," 80,577,992 "," 79,189,782 "," 77,848,258 "," 76,377,289 ",Bengkalis,"0","0","0","0","0","0","0","0","0","0"
"50",West Kalimantan,Bengkayang," 3,649,150 "," 3,834,740 "," 4,059,787 "," 4,299,248 "," 4,472,287 "," 4,649,503 "," 4,889,160 "," 5,163,899 "," 5,434,858 "," 5,714,297 ",Bengkayang,"0","0","0","0","0","0","0","0","0","0"
"51",Bengkulu,Bengkulu Selatan," 2,220,325 "," 2,366,414 "," 2,518,785 "," 2,674,076 "," 2,825,965 "," 2,971,302 "," 3,127,256 "," 3,281,690 "," 3,444,032 "," 3,615,034 ",Bengkulu Selatan ,"0","0","0","0","0","0","0","0","0","0"
"52",Bengkulu,Bengkulu Tengah," 1,814,999 "," 1,916,027 "," 2,033,315 "," 2,146,923 "," 2,264,214 "," 2,377,714 "," 2,496,628 "," 2,620,222 "," 2,750,436 "," 2,887,020 ",Bengkulu Tengah,"0","0","0","0","0","0","0","0","0","0"
