id,province,district,hdi2010,hdi2011,hdi2012,hdi2013,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018,hdi2019,hdi2020,hdi2021,hdi2022,hdi2023
184,Jawa Barat,Kota Bekasi ,76.77,77.48,77.71,78.63,78.84,79.63,79.95,80.3,81.04,81.59,81.5,81.95,82.46,83.03
185,Bengkulu,Kota Bengkulu,74.92,75.31,75.71,76.16,76.49,77.16,77.94,78.82,79.67,80.35,80.36,80.54,80.99,81.45
186,Nusa Tenggara Barat,Kota Bima,70.11,70.57,71.21,71.72,72.23,72.99,73.67,74.36,75.04,75.8,75.81,76.11,76.84,77.36
187,Sumatera Utara,Kota Binjai,70.54,70.85,71.54,72.02,72.55,73.81,74.11,74.65,75.21,75.89,75.89,76.01,76.95,77.6
188,Sulawesi Utara ,Kota Bitung,68.86,69.31,69.89,70.35,70.88,71.64,72.43,72.94,73.27,74.2,74.1,74.2,74.7,75.11
189,Jawa Timur ,Kota Blitar ,72.56,73.08,73.53,74.53,75.26,76,76.71,77.1,77.58,78.56,78.57,78.98,79.93,80.63
190,Jawa Barat,Kota Bogor ,71.25,71.72,72.25,72.86,73.1,73.65,74.5,75.16,75.66,76.23,76.11,76.59,77.17,77.85
191,Sumatera Barat,Kota Bukittinggi,76.12,76.3,76.92,77.67,78.02,78.72,79.11,79.8,80.11,80.71,80.58,80.7,81.42,81.78
192,Banten,Kota Cilegon,68.8,69.26,70.07,70.99,71.57,71.81,72.04,72.29,72.65,73.01,73.05,73.35,73.95,74.54
193,Jawa Barat,Kota Cimahi,73.76,74.41,74.99,75.85,76.06,76.42,76.69,76.95,77.56,78.11,77.83,78.06,78.77,79.46
194,Jawa Barat,Kota Cirebon,70.74,71.49,71.97,72.27,72.93,73.34,73.7,74,74.35,74.92,74.89,75.25,75.89,76.46
195,Bali,Kota Denpasar ,79.19,79.77,80.45,81.32,81.65,82.24,82.58,83.01,83.3,83.68,83.93,84.03,84.37,84.73
196,Jawa Barat,Kota Depok ,76.66,76.96,77.28,78.27,78.58,79.11,79.6,79.83,80.29,80.82,80.97,81.37,81.86,82.38
197,Riau,Kota Dumai,69.55,70.43,71.07,71.59,71.86,72.2,72.96,73.46,74.06,74.64,74.4,74.75,75.26,75.66
198,Gorontalo,Kota Gorontalo,73.07,73.56,74.06,74.43,74.97,75.62,75.75,76.09,76.53,77.08,77.13,77.41,78.22,78.64
199,Sumatera Utara,Kota Gunungsitoli,-,63.71,64.34,65.25,65.91,66.41,66.85,67.68,68.33,69.3,69.31,69.61,70.23,70.68
200,DKI Jakarta,Kota Jakarta Barat,76.65,77.41,78.05,78.79,79.38,79.72,80.34,80.47,80.88,81.21,81.38,81.76,82.51,83.02
201,DKI Jakarta,Kota Jakarta Pusat,77.3,77.97,78.44,78.81,79.03,79.69,80.22,80.49,81.01,81.24,81.39,81.56,82.11,82.53
202,DKI Jakarta,Kota Jakarta Selatan,80.26,81.22,81.72,82.72,82.94,83.37,83.94,84.13,84.44,84.75,84.72,84.9,85.21,86.07
203,DKI Jakarta,Kota Jakarta Timur,78.06,78.82,79.52,79.88,80.4,80.73,81.28,81.61,82.06,82.69,82.66,82.97,83.45,84.13
204,DKI Jakarta,Kota Jakarta Utara ,75.15,76.12,76.89,77.16,77.29,78.3,78.78,79.47,79.87,80.17,80.29,80.51,80.81,81.11
205,Jambi,Kota Jambi,72.23,72.96,73.78,74.21,74.86,75.58,76.14,76.74,77.41,78.26,78.37,79.12,79.58,80.15
206,Papua,Kota Jayapura,76.69,76.97,77.25,77.46,77.86,78.05,78.56,79.23,79.58,80.16,79.94,80.11,80.61,81.14
207,Jawa Timur ,Kota Kediri ,72.2,72.93,73.66,74.18,74.62,75.67,76.33,77.13,77.58,78.08,78.23,78.6,79.59,80.44
208,Sulawesi Tenggara,Kota Kendari,78.13,79.43,79.97,80.91,81.3,81.43,81.66,81.83,82.22,82.86,83.53,84.15,84.51,84.85
209,Sulawesi Utara ,Kota Kotamobagu,67.89,68.57,69.31,69.86,70.46,70.7,71.68,72,72.55,73.22,72.97,73.47,73.96,74.43
210,Nusa Tenggara Timur ,Kota Kupang,74.81,75.74,76.38,77.24,77.58,77.95,78.14,78.25,78.84,79.55,79.71,79.74,80.2,80.62
211,Aceh,Kota Langsa,71.79,72.15,72.75,73.4,73.81,74.74,75.41,75.89,76.34,77.16,77.17,77.44,77.82,78.36
212,Aceh,Kota Lhokseumawe,71.55,72.35,73.55,74.13,74.44,75.11,75.78,76.34,76.62,77.3,77.31,77.57,78.04,78.92
213,Sumatera Selatan ,Kota Lubuklinggau,70.72,71.62,72.04,72.55,72.84,73.17,73.57,73.67,74.09,74.81,74.78,74.89,75.53,76.19
214,Jawa Timur ,Kota Madiun ,75.98,76.48,77.21,78.41,78.81,79.48,80.01,80.13,80.33,80.88,80.91,81.25,82.01,82.71
215,Jawa Tengah,Kota Mageleng ,73.99,74.47,75,75.29,75.79,76.39,77.16,77.84,78.31,78.8,78.99,79.43,80.39,81.17
216,Sulawesi Selatan ,Kota Makassar,77.63,77.82,78.47,78.98,79.35,79.94,80.53,81.13,81.73,82.25,82.25,82.66,83.12,83.52
217,Jawa Timur ,Kota Malang ,76.69,77.36,78.04,78.44,78.96,80.05,80.46,80.65,80.89,81.32,81.45,82.04,82.71,83.39
218,Sulawesi Utara ,Kota Manado,74.47,75.47,76.15,76.56,77.27,77.32,77.59,78.05,78.41,79.12,78.93,79.2,79.66,80.14
219,Nusa Tenggara Barat,Kota Mataram ,72.47,73.5,74.22,75.22,75.93,76.37,77.2,77.84,78.43,79.1,78.91,79.14,79.59,80.09
220,Sumatera Utara,Kota Medan,77.02,77.54,77.78,78,78.26,78.87,79.34,79.98,80.65,80.97,80.98,81.21,81.76,82.19
221,Lampung,Kota Metro,71.37,72.23,72.86,74.27,74.98,75.1,75.45,75.87,76.22,76.77,77.19,77.49,77.89,78.36
222,Jawa Timur ,Kota Mojokerto ,72.78,73.47,74.2,74.91,75.04,75.54,76.38,76.77,77.14,77.96,78.04,78.43,79.32,80.07
223,Sumatera Barat,Kota Padang,78.44,78.68,79,79.23,79.83,80.36,81.06,81.58,82.25,82.68,82.82,82.9,83.29,83.58
224,Sumatera Barat,Kota Padang Panjang,73.27,73.76,74.22,74.54,75.05,75.98,76.5,77.01,77.3,78,77.93,77.97,78.78,79.26
225,Sumatera Utara,Kota Padangsidimpuan,70.23,71.08,71.38,71.68,71.88,72.8,73.42,73.81,74.38,75.06,75.22,75.48,76.05,76.44
226,Sumatera Selatan ,Kota Pagar Alam,61.97,62.71,63.33,64.14,64.75,65.37,65.96,66.81,67.62,68.44,68.31,68.68,69.6,70.45
227,Kalimantan Tengah,Kota Palangka Raya,76.53,76.98,77.4,78.02,78.5,78.62,79.21,79.69,80.34,80.77,80.77,80.82,81.16,81.68
228,Sumatera Selatan ,Kota Palembang,73.33,74.08,74.74,75.49,76.02,76.29,76.59,77.22,77.89,78.44,78.33,78.72,79.47,80.02
229,Sulawesi Selatan ,Kota Palopo,73.03,74.02,74.54,75.02,75.65,76.27,76.45,76.71,77.3,77.98,78.06,78.38,78.91,79.45
230,Sulawesi Tengah ,Kota Palu,77.39,78.1,78.36,78.65,79.12,79.63,79.73,80.24,80.91,81.5,81.47,81.7,82.02,82.52
231,Kep. Bangka Belitung,Kota Pangkal Pinang,74.68,75.02,75.69,76.14,76.28,76.61,76.73,76.86,77.43,77.97,78.22,78.57,79.24,79.93
232,Sulawesi Selatan ,Kota Parepare,73.55,74.2,74.67,75.1,75.66,76.31,76.48,76.68,77.19,77.62,77.86,78.21,78.54,79.03
233,Sumatera Barat,Kota Pariaman,72.56,73.07,73.47,74.51,74.66,74.98,75.44,75.71,76.26,76.7,76.9,77.07,77.65,78.13
234,Jawa Timur ,Kota Pasuruan ,69.69,70.41,72.01,72.89,73.23,73.78,74.11,74.39,74.78,75.25,75.26,75.62,76.54,77.17
235,Sumatera Barat,Kota Payakumbuh,74.89,75.39,75.89,76.34,76.49,77.42,77.56,77.91,78.23,78.95,78.9,79.08,79.53,79.97
236,Jawa Tengah,Kota Pekalongan ,68.95,69.54,69.95,70.82,71.53,72.69,73.32,73.77,74.24,74.77,74.98,75.4,75.9,76.71
237,Riau,Kota Pekanbaru,77.34,77.71,77.94,78.16,78.42,79.32,79.69,79.97,80.66,81.35,81.32,81.58,82.06,82.38
238,Sumatera Utara,Kota Pematang Siantar,72.52,73.61,74.51,75.05,75.83,76.34,76.9,77.54,77.88,78.57,78.75,79.17,79.7,80.46
239,Kalimantan Barat,Kota Pontianak,74.87,75.08,75.55,75.98,76.63,77.52,77.63,77.93,78.56,79.35,79.44,79.93,80.48,81.03
240,Sumatera Selatan ,Kota Prabumulih,69.39,70.32,70.95,71.87,72.2,73.19,73.38,73.58,74.04,74.4,74.55,74.67,75.52,76.46
241,Jawa Timur ,Kota Probolinggo,67.3,68.14,68.93,70.05,70.49,71.01,71.5,72.09,72.53,73.27,73.27,73.66,74.56,75.43
242,Aceh,Kota Sabang,69.7,70.15,70.84,71.07,71.5,72.51,73.36,74.1,74.82,75.77,75.78,76.11,76.85,77.52
243,Jawa Tengah,Kota Salatiga ,78.35,78.76,79.1,79.37,79.98,80.96,81.14,81.68,82.41,83.12,83.14,83.6,84.35,84.99
244,Kalimantan Timur ,Kota Samarinda,75.85,77.05,77.34,77.84,78.39,78.69,78.91,79.46,79.93,80.2,80.11,80.76,81.43,82.32
245,Sumatera Barat,Kota Sawah Lunto,67.55,67.97,68.59,69.07,69.61,69.87,70.67,71.13,71.72,72.39,72.64,72.88,73.73,74.42
246,Jawa Tengah,Kota Semarang ,76.96,77.58,78.04,78.68,79.24,80.23,81.19,82.01,82.72,83.19,83.05,83.55,84.08,84.43
247,Banten,Kota Serang,68.25,68.69,69.43,69.69,70.26,70.51,71.09,71.31,71.68,72.1,72.16,72.44,72.98,73.48
248,Sumatera Utara,Kota Sibolga,68.37,69.17,69.71,70.45,71.01,71.64,72,72.28,72.65,73.41,73.63,73.94,74.74,75.2
249,Kalimantan Barat,Kota Singkawang,67.27,67.5,68.54,69.13,69.84,70.03,70.1,70.25,71.08,71.72,71.94,72.11,72.89,73.39
250,Sumatera Barat,Kota Solok,74.38,74.68,75.02,75.54,76.2,76.83,77.07,77.44,77.89,78.38,78.29,78.41,79.23,79.58
251,Papua Barat ,Kota Sorong,71.96,72.8,73.89,74.96,75.78,75.91,76.33,76.73,77.35,77.98,78.45,78.49,78.98,79.65
252,Aceh,Kota Subulussalam,58.97,59.34,59.76,60.11,60.39,61.32,62.18,62.88,63.48,64.46,64.93,65.27,66.2,67.1
253,Jawa Barat,Kota Sukabumi ,67.94,68.67,69.74,70.81,71.19,71.84,72.33,73.03,73.55,74.31,74.21,74.6,75.4,76.32
254,Jambi,Kota Sungai Penuh,69.91,70.55,71.23,72.09,72.48,73.03,73.35,73.75,74.67,75.36,75.42,75.7,76.17,76.65
255,Jawa Timur ,Kota Surabaya,77.2,77.62,78.05,78.51,78.87,79.47,80.38,81.07,81.74,82.22,82.23,82.31,82.74,83.45
256,Jawa Tengah,Kota Surakarta,77.45,78,78.44,78.89,79.34,80.14,80.76,80.85,81.46,81.86,82.21,82.62,83.08,83.54
257,Banten,Kota Tangerang ,73.69,74.15,74.57,75.04,75.87,76.08,76.81,77.01,77.92,78.43,78.25,78.5,78.9,79.46
258,Banten,Kota Tangerang Selatan,-,76.99,77.68,78.65,79.17,79.38,80.11,80.84,81.17,81.48,81.36,81.6,81.95,82.28
259,Sumatera Utara,Kota Tanjung Balai ,63.47,64.13,64.89,65.4,66.05,66.74,67.09,67.41,68,68.51,68.65,68.94,69.86,70.59
260,Kep. Riau,Kota Tanjung Pinang,73.76,74.86,75.91,76.7,77.29,77.57,77.77,78,78.33,78.73,78.91,78.93,79.64,80.23
261,Kalimantan Utara,Kota Tarakan,70.95,71.6,72.53,73.58,74.6,74.7,74.88,75.27,75.69,76.09,75.83,76.23,76.68,77.53
262,Jawa Barat,Kota Tasikmalaya ,66.58,67.18,67.84,68.63,69.04,69.99,70.58,71.51,72.03,72.84,73.04,73.31,73.83,74.47
263,Sumatera Utara,Kota Tebing Tinggi,69.96,70.84,71.34,71.85,72.13,72.81,73.58,73.9,74.5,75.08,75.17,75.42,76.17,76.98
264,Jawa Tengah,Kota Tegal,69.33,70.03,70.68,71.44,72.2,72.96,73.55,73.95,74.44,74.93,75.07,75.52,76.15,77.02
265,Maluku  Utara ,Kota Ternate,74.86,75.52,75.81,76.69,77.15,77.64,77.8,78.48,79.13,80.03,79.82,80.14,80.81,81.35
266,Maluku  Utara ,Kota Tidore Kepulauan,64.48,64.8,65.42,66.25,66.76,67.45,68.37,69.25,69.89,70.83,70.53,70.99,71.55,72.4
267,Sulawesi Utara ,Kota Tomohon,71.27,71.85,72.5,72.99,73.56,74.36,74.91,75.34,75.78,76.67,76.69,76.86,77.44,78.1
268,Maluku,Kota Tual,61.7,62.69,63.56,64.16,64.95,65.2,65.64,66.25,67.21,67.74,67.96,68.16,68.6,69.43
269,DI Yogyakarta ,Kota Yogyakarta,82.72,82.98,83.29,83.61,83.78,84.56,85.32,85.49,86.11,86.65,86.61,87.18,87.69,88.28
270,Kalimantan Tengah,Kotawaringin Barat,68.43,68.53,68.63,69.51,70.14,70.6,71.13,72.11,72.46,72.85,72.87,73.07,73.41,74.04
271,Kalimantan Tengah,Kotawaringin Timur,65.24,65.6,66.61,67.95,68.45,68.61,69.42,70.17,70.56,71.16,71.31,71.38,71.67,72.21
272,Riau,Kuantan Singingi,65.07,65.72,66.31,66.65,67.47,68.32,68.66,69.53,69.96,70.78,70.31,70.6,71.09,71.67
273,Kalimantan Barat,Kubu Raya,61.87,62.56,63.42,63.94,64.52,65.02,65.54,66.31,67.23,67.76,67.95,68.16,68.91,69.6
274,Jawa Tengah,Kudus,69.22,69.89,70.57,71.58,72,72.72,72.94,73.84,74.58,74.94,75,75.16,75.89,76.71
275,DI Yogyakarta ,Kulon Progo,68.83,69.53,69.74,70.14,70.68,71.52,72.38,73.23,73.76,74.44,74.46,74.71,75.46,75.79
276,Jawa Barat,Kuningan,64.4,65.04,65.6,66.16,66.63,67.19,67.51,67.78,68.55,69.12,69.38,69.71,70.16,70.72
277,Nusa Tenggara Timur ,Kupang,58.57,59.74,60.34,61.07,61.68,62.04,62.39,62.79,63.55,64.43,64.32,64.41,65.04,65.82
278,Kalimantan Timur ,Kutai Barat,65.9,66.92,67.14,68.13,68.91,69.34,69.99,70.18,70.69,71.63,71.19,72.07,72.92,73.72
279,Kalimantan Timur ,Kutai Kartanegara,67.45,68.47,69.12,70.71,71.2,71.78,72.19,72.75,73.15,73.78,73.59,74.06,74.67,75.3
280,Kalimantan Timur ,Kutai Timur,66.94,67.73,68.71,69.79,70.39,70.76,71.1,71.91,72.56,73.49,73,73.81,74.35,74.98
281,Sumatera Utara,Labuhan Batu,66.88,67.88,68.64,69.45,70.06,70.23,70.5,71,71.39,71.94,72.01,72.09,72.92,73.69
282,Sumatera Utara,Labuhan Batu Selatan,65.32,65.77,67.06,67.78,68.59,69.67,70.28,70.48,70.98,71.39,71.4,71.69,72.16,72.82
283,Sumatera Utara,Labuhan Batu Utara,66.72,67.37,67.84,68.28,69.15,69.69,70.26,70.79,71.08,71.43,71.61,71.87,72.77,73.63
284,Sumatera Selatan ,Lahat,62.31,62.93,63.66,64.15,64.52,65.25,65.75,66.38,66.99,67.62,67.44,67.58,68.4,69.1
285,Kalimantan Tengah,Lamandau,65.32,65.99,66.49,67.23,67.53,68.3,68.54,69.17,69.7,70.51,70.51,70.58,71.11,71.81
286,Jawa Timur ,Lamongan,65.4,66.21,67.51,68.9,69.42,69.84,70.34,71.11,71.97,72.57,72.58,73.12,74.02,74.53
287,Lampung,Lampung Barat,60.93,61.92,62.51,63.21,63.54,64.54,65.45,66.06,66.74,67.5,67.8,67.9,68.39,69.11
288,Lampung,Lampung Selatan,61.07,61.95,62.68,63.35,63.75,65.22,66.19,66.95,67.68,68.22,68.36,68.49,69,69.63
289,Lampung,Lampung Tengah,64.14,64.71,65.6,66.57,67.07,67.61,68.33,68.95,69.73,70.04,70.16,70.23,70.8,71.6
290,Lampung,Lampung Timur,63.23,64.1,65.1,66.07,66.42,67.1,67.88,68.05,69.04,69.34,69.37,69.66,70.58,71.21
291,Lampung,Lampung Utara,61.82,62.67,62.93,64,64.89,65.2,65.95,66.58,67.17,67.63,67.67,67.89,68.33,68.95
292,Kalimantan Barat,Landak,60.36,61.67,62.38,62.72,63.59,64.12,64.58,64.93,65.45,65.96,65.98,66.21,67.17,68.14
293,Sumatera Utara,Langkat,64.57,65.77,66.18,67.17,68,68.53,69.13,69.82,70.27,70.76,71,71.35,71.86,72.21
294,Papua,Lanny Jaya,41.49,41.9,42.53,43.05,43.28,44.18,45.16,46.49,47.34,48,47.86,48.68,49.62,50.56
295,Banten,Lebak,58.83,59.82,60.22,61.13,61.64,62.03,62.78,62.95,63.37,63.88,63.91,64.03,64.71,65.21
296,Bengkulu,Lebong,61.87,62.43,62.84,63.15,63.9,64.72,65.58,65.87,66.28,66.84,67.01,67.46,68.12,68.71
297,Nusa Tenggara Timur ,Lembata,57.78,58.76,59.51,60.56,61.45,62.16,62.81,63.09,63.96,64.91,64.74,64.75,65.47,66.12
298,Sumatera Barat,Lima Puluh Kota,64.64,65.2,65.87,66.3,66.78,67.65,68.37,68.69,69.17,69.67,69.47,69.68,70.28,70.7
299,Kep. Riau,Lingga,57.36,58.51,59.38,60.13,60.75,61.28,62.44,63.45,64.06,64.98,65.29,65.83,66.57,67.44
300,Nusa Tenggara Barat,Lombok Barat,60.61,61.64,62.24,62.91,63.52,64.62,65.55,66.37,67.18,68.03,68.2,68.61,69.41,70.15
301,Nusa Tenggara Barat,Lombok Tengah,58.97,59.77,60.57,61.25,61.88,62.74,63.22,64.36,65.36,66.36,66.43,66.72,67.57,68.4
302,Nusa Tenggara Barat,Lombok Timur,58.86,59.84,60.73,61.43,62.07,62.83,63.7,64.37,65.35,66.23,66.3,66.66,67.59,68.41
303,Nusa Tenggara Barat,Lombok Utara,56.13,57.13,58.19,59.2,60.17,61.15,62.24,63.04,63.83,64.49,64.42,64.77,65.7,66.62
304,Jawa Timur ,Lumajang,59.62,60.72,61.31,61.87,62.33,63.02,63.74,64.23,64.83,65.33,65.46,66.07,66.95,67.87
305,Sulawesi Selatan ,Luwu,63.95,64.71,65.43,66.39,67.34,68.11,68.71,69.02,69.6,70.39,70.51,70.85,71.36,72.16
306,Sulawesi Selatan ,Luwu Timur,68.47,68.94,69.34,69.53,69.75,70.43,70.95,71.46,72.16,72.8,73.22,73.34,73.92,74.35
307,Sulawesi Selatan ,Luwu Utara,64.77,65.57,65.99,66.4,66.9,67.44,67.81,68.35,68.79,69.46,69.57,70.02,70.51,71.34
308,Jawa Timur ,Madiun,64.87,65.98,67.32,68.07,68.6,69.39,69.67,70.27,71.01,71.69,71.73,71.88,72.39,72.97
309,Jawa Tengah,Magelang,63.28,64.16,64.75,65.86,66.35,67.13,67.85,68.39,69.11,69.87,69.87,70.12,70.85,71.45
310,Jawa Timur ,Magetan,67.58,68.52,69.56,69.86,70.29,71.39,71.94,72.6,72.91,73.49,73.92,74.15,74.85,75.41
311,Kalimantan Timur ,Mahakam Ulu,-,-,-,63.81,64.32,64.89,65.51,66.09,66.67,67.58,67.09,67.95,68.75,69.59
312,Jawa Barat,Majalengka,62.3,62.67,63.13,63.71,64.07,64.75,65.25,65.92,66.72,67.52,67.59,67.81,68.56,69.13
313,Sulawesi Barat,Majene,61.67,62.56,63.06,63.32,63.74,64.4,64.8,65.4,66.01,66.59,66.91,67.29,67.84,68.62
314,Nusa Tenggara Timur ,Malaka,-,-,-,56.14,56.94,57.51,58.29,58.9,59.66,60.34,60.21,60.42,61.34,62.06
315,Jawa Timur ,Malang,63.47,63.97,64.71,65.2,65.59,66.63,67.51,68.47,69.4,70.35,70.36,70.6,71.38,72.16
316,Kalimantan Utara,Malinau,66.9,68.15,68.88,69.84,70,70.15,70.71,71.23,71.74,72.06,71.94,72.32,72.75,73.19
317,Maluku,Maluku Barat Daya,55.75,56.1,56.74,57.34,58.09,58.64,59.43,60.16,60.64,61.55,61.9,62.37,63.07,63.93
318,Maluku,Maluku Tengah,66.12,66.64,67.3,67.89,68.69,68.85,69.54,70.09,70.6,71.25,71.25,71.32,71.81,72.45
319,Maluku,Maluku Tenggara,60.58,60.96,61.75,62.11,62.74,63.35,64.2,64.94,65.53,65.85,66.2,66.33,66.88,67.57
320,Maluku,Maluku Tenggara Barat,57.08,57.69,58.56,59.34,59.81,60.26,61.12,61.64,62.39,62.86,62.86,62.97,63.45,64.16
321,Sulawesi Barat,Mamasa,60.88,61.45,61.95,62.57,62.85,63.17,63.51,63.92,64.66,65.32,66.02,66.63,67.21,67.83
322,Papua,Mamberamo Raya,44.89,45.82,46.62,47.28,47.88,48.29,49,50.25,51.24,52.2,51.78,52.18,53.1,54.08
323,Papua,Mamberamo Tengah,39.37,40.17,41.39,42.43,43.19,43.55,44.15,45.5,46.41,47.23,47.57,48.32,49.25,50.22
324,Sulawesi Barat,Mamuju,61.65,62.28,63.24,64.17,64.71,65.09,65.65,66.32,67.11,67.72,68.15,68.32,68.88,69.61
325,Sulawesi Barat,Mamuju Tengah,-,-,-,61.05,61.48,62.22,62.89,63.64,64.43,65.1,65.71,66.18,66.89,67.45
326,Sulawesi Barat,Mamuju Utara,61.29,62.23,63,63.76,64.04,64.69,65.17,65.67,66.6,67.27,67.79,68.03,68.61,69.11
327,Sumatera Utara,Mandailing Natal,60.76,61.6,62.26,62.91,63.42,63.99,64.55,65.13,65.83,66.52,66.79,67.19,68.05,68.56
328,Nusa Tenggara Timur ,Manggarai,57.18,58.02,58.92,59.49,60.08,60.87,61.67,62.24,63.32,64.15,64.54,65.01,65.83,66.42
329,Nusa Tenggara Timur ,Manggarai Barat,57.08,57.75,58.13,59.02,59.64,60.04,60.63,61.65,62.58,63.5,63.89,64.17,64.92,65.81
330,Nusa Tenggara Timur ,Manggarai Timur,54.26,54.97,55.28,55.74,56.58,56.83,57.5,58.51,59.49,60.47,60.85,61.37,62.3,63.24
331,Papua Barat ,Manokwari,66.29,67.28,67.86,68.81,69.35,69.91,70.34,70.67,71.17,71.67,72.01,72.02,72.6,73.21
332,Papua Barat ,Manokwari Selatan,-,-,-,54.95,55.32,56.59,57.12,58.08,58.84,59.72,59.84,59.85,60.68,61.55
333,Papua,Mappi,54.09,54.61,55.09,55.51,55.74,56.11,56.54,57.1,57.72,58.3,58.15,58.7,59.61,60.57
334,Sulawesi Selatan ,Maros,64.07,64.95,65.5,66.06,66.65,67.13,67.76,68.42,68.94,69.5,69.86,70.41,71,71.63
335,Papua Barat ,Maybrat,-,53.29,54.13,54.93,55.36,55.78,56.35,57.23,58.16,59.15,59.52,59.7,60.49,61.29
336,Kalimantan Barat,Melawi,60.91,61.18,61.58,62.27,62.89,63.78,64.25,64.43,65.05,65.54,65.55,65.87,66.81,67.76
337,Jambi,Merangin,63.85,64.4,65.31,65.82,66.21,67.15,67.86,68.3,68.81,69.07,69.19,69.53,69.98,70.81
338,Papua,Merauke,65.58,66.03,66.28,66.88,67.33,67.75,68.09,68.64,69.38,69.98,70.09,70.49,71.24,72.19
339,Lampung,Mesuji,-,57.32,57.67,58.16,58.71,59.79,60.72,61.87,62.88,63.52,63.63,64.04,64.94,65.64
340,Papua,Mimika,67.96,68.74,68.95,69.5,70.4,70.89,71.64,72.42,73.15,74.13,74.19,74.48,75.08,75.91
341,Sulawesi Utara ,Minahasa,70.38,70.82,71.43,71.94,72.76,73.59,74.37,74.59,74.97,75.47,75.29,75.73,76.18,76.96
342,Sulawesi Utara ,Minahasa Selatan,66.11,66.61,67.26,67.68,68.36,69.18,69.97,70.05,70.86,71.68,72.11,72.32,72.89,73.66
343,Sulawesi Utara ,Minahasa Tenggara ,65.66,66.07,67.1,67.34,67.86,68.05,68.42,68.91,69.66,70.47,70.51,71.06,71.48,71.93
344,Sulawesi Utara ,Minahasa Utara,68.74,69.62,70,70.19,70.54,71.09,71.49,72.2,73.05,73.95,73.9,74.11,74.69,75.31
345,Jawa Timur ,Mojokerto,68.14,68.71,69.17,69.84,70.22,70.85,71.38,72.36,72.64,73.53,73.83,74.15,74.89,75.53
346,Sulawesi Tengah ,Morowali,65.25,66.03,66.48,66.86,67.91,69.12,69.69,70.41,71.14,72.02,72.21,72.29,72.55,73.02
347,Sulawesi Tengah ,Morowali Utara,-,-,-,65.01,65.81,66,66.57,67.35,67.95,68.45,68.36,68.48,68.97,69.73
348,Sumatera Selatan ,Muara Enim,62.12,62.82,63.34,64.34,65.02,65.82,66.71,67.63,68.28,68.88,68.74,68.86,69.43,70.24
349,Jambi,Muaro Jambi,62.84,63.39,64.17,65.14,65.71,66.66,67.55,67.86,68.34,69.01,69.18,69.55,70.18,71.04
350,Bengkulu,Mukomuko,62.95,63.71,64.16,64.79,65.31,65.77,66.52,67.07,67.47,68.12,68.45,68.64,69.12,69.97
351,Sulawesi Tenggara,Muna,62.57,63.08,63.76,64.67,65.09,65.99,66.96,67.61,68.47,68.97,69.02,69.17,69.61,70.16
352,Sulawesi Tenggara,Muna Barat,-,-,-,-,61.92,62.29,62.57,63.43,64.11,64.45,65.08,65.48,66.21,67.13
353,Kalimantan Tengah,Murung Raya,63.18,64.39,64.85,65.62,66.1,66.46,66.96,67.16,67.56,67.89,67.98,68.12,68.63,69.42
354,Sumatera Selatan ,Musi Banyuasin,61.79,62.56,63.27,64.18,64.93,65.76,66.45,66.96,67.57,67.83,67.69,68.1,68.6,69.17
355,Sumatera Selatan ,Musi Rawas,59.69,60.63,61.37,62.23,63.19,64.11,64.75,65.31,66.18,66.92,66.79,67.01,67.78,68.26
356,Sumatera Selatan ,Musi Rawas Utara,-,-,-,60.56,61.34,62.32,63.05,63.18,63.75,64.32,64.49,64.93,65.74,66.6
357,Papua,Nabire,64.49,64.96,65.28,65.45,66.25,66.49,66.64,67.11,67.7,68.53,68.83,69.15,69.91,70.84
358,Aceh,Nagan Raya,63.57,64.24,64.91,65.23,65.58,66.73,67.32,67.78,68.15,69.11,69.18,69.31,70.1,70.78
359,Nusa Tenggara Timur ,Nagekeo,60.19,61.05,61.6,62.24,62.71,63.33,63.93,64.74,65.35,65.88,65.81,65.82,66.22,67.07
360,Kep. Riau,Natuna,66.29,67.76,68.8,69.39,70.06,70.87,71.23,71.52,72.1,72.63,72.72,73.09,73.47,74.21
361,Papua,Nduga,19.62,21.12,23.07,24.42,25.38,25.47,26.56,27.87,29.42,30.75,31.55,32.84,34.1,35.19
362,Nusa Tenggara Timur ,Ngada,61.84,62.8,63.57,64.43,64.64,65.1,65.61,66.47,67.1,67.76,67.88,67.88,68.26,69.14
363,Jawa Timur ,Nganjuk,65.6,66.58,68.07,68.98,69.59,69.9,70.5,70.69,71.23,71.71,71.72,71.97,72.93,73.71
364,Jawa Timur ,Ngawi,64.52,65.84,66.72,67.25,67.78,68.32,68.96,69.27,69.91,70.41,70.54,71.04,71.75,72.47
365,Sumatera Utara,Nias,54.72,55.55,56.5,57.43,57.98,58.85,59.75,60.21,60.82,61.65,61.93,62.74,63.69,64.56
366,Sumatera Utara,Nias Barat,-,55.43,56.2,56.58,57.54,58.25,59.03,59.56,60.42,61.14,61.51,61.99,62.93,63.7
367,Sumatera Utara,Nias Selatan,54.54,55.5,55.97,56.78,57.78,58.74,59.14,59.85,60.75,61.59,61.89,62.35,63.17,64.12
368,Sumatera Utara,Nias Utara,-,57.53,57.87,58.29,59.18,59.88,60.23,60.57,61.08,61.98,62.36,62.82,63.75,64.64
