id,province,district,hdi2010,hdi2011,hdi2012,hdi2013,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018,hdi2019,hdi2020,hdi2021,hdi2022,hdi2023
43,Sumatera Utara,Batu Bara,63.45,63.95,64.45,65.06,65.5,66.02,66.69,67.2,67.67,68.35,68.36,68.58,69.51,70.31
44,Jawa Barat,Bekasi,67.58,68.66,69.38,70.09,70.51,71.19,71.83,72.63,73.49,73.99,74.07,74.45,75.22,75.76
45,Kep. Bangka Belitung,Belitung,66.79,67.17,67.87,69.27,69.56,70.29,70.81,70.93,71.7,72.46,72.51,72.57,73.38,74.02
46,Kep. Bangka Belitung,Belitung Timur,64.99,65.86,66.59,67.71,68.1,68.83,69.3,69.57,70.22,70.84,70.92,71.42,72.29,72.86
47,Nusa Tenggara Timur ,Belu,55.78,56.63,57.58,59.12,59.72,60.54,61.04,61.44,61.86,62.54,62.68,62.77,63.22,63.83
48,Aceh,Bener Meriah,67.29,68.24,69.14,69.74,70,70.62,71.42,71.89,72.14,72.97,72.98,73.27,73.9,74.49
49,Riau,Bengkalis,69.29,69.72,70.26,70.6,70.84,71.29,71.98,72.27,72.94,73.44,73.46,73.58,74.38,74.97
50,Kalimantan Barat,Bengkayang,62.5,62.94,63.42,63.99,64.4,64.65,65.45,65.99,66.85,67.57,67.87,68.04,68.74,69.53
51,Bengkulu,Bengkulu Selatan ,65.84,66.5,66.77,67.61,68.28,68.57,68.71,69.04,69.85,70.27,70.63,70.75,71.42,71.91
52,Bengkulu,Bengkulu Tengah,61.7,62.54,63.12,63.71,64.1,64.68,65.44,65.8,66.65,67.3,67.61,67.96,68.47,68.99
53,Bengkulu,Bengkulu Utara,63.5,64.61,65.47,66.67,67.27,67.46,67.63,67.8,68.36,68.8,68.82,69.28,69.77,70.28
54,Kalimantan Timur ,Berau,69.16,70.43,70.77,72.02,72.26,72.72,73.05,73.56,74.01,74.88,74.71,75.2,75.74,76.21
55,Papua,Biak Numfor,68.22,68.8,69.05,69.35,70.32,70.85,71.13,71.56,71.96,72.57,72.19,72.33,72.85,73.46
56,Nusa Tenggara Barat,Bima,60.19,60.62,61.05,62.08,62.61,63.48,64.15,65.01,65.62,66.37,66.3,66.66,67.57,68.28
57,Kep. Riau,Bintan,69.87,70.47,71.01,71.31,71.65,71.92,72.38,72.91,73.41,73.98,74.13,74.57,74.99,75.7
58,Aceh,Bireuen,66.42,67.03,67.57,68.23,68.71,69.77,70.21,71.11,71.37,72.27,72.28,72.33,73.16,73.63
59,Jawa Timur ,Blitar,64.79,65.47,66.17,66.49,66.88,68.13,68.88,69.33,69.93,70.57,70.58,71.05,71.86,72.49
60,Jawa Tengah,Blora,63.02,63.88,64.7,65.37,65.84,66.22,66.61,67.52,67.95,68.65,68.84,69.37,69.95,70.63
61,Gorontalo,Boalemo,59.92,60.52,61.11,61.71,62.18,62.86,63.42,64.22,64.99,65.53,65.91,66.42,67.27,68.18
62,Jawa Barat,Bogor,64.35,64.78,65.66,66.74,67.36,67.77,68.32,69.13,69.69,70.65,70.4,70.6,71.2,71.78
63,Jawa Timur ,Bojonegoro,62.19,63.22,64.2,64.85,65.27,66.17,66.73,67.28,67.85,68.75,69.04,69.59,70.12,70.85
64,Sulawesi Utara ,Bolaang Mongondow,62.75,63.16,63.78,64.16,64.53,65.03,65.73,66.08,66.91,67.82,67.89,68.16,68.95,69.62
65,Sulawesi Utara ,Bolaang Mongondow Selatan,59.77,60.47,61.48,62.84,63.57,63.72,63.92,64.05,64.49,65.28,65,65.42,65.9,66.4
66,Sulawesi Utara ,Bolaang Mongondow Timur ,60.04,60.93,61.93,62.64,63.12,63.81,64.44,64.73,65.21,66.08,65.99,66.55,67.21,67.95
67,Sulawesi Utara ,Bolaang Mongondow Utara,61.34,62.11,62.88,63.67,64.24,64.46,65.16,65.6,66.32,66.91,66.99,67.39,68.06,68.64
68,Sulawesi Tenggara,Bombana,59.85,60.84,61.82,62.82,63.38,63.65,64.02,64.49,65.04,65.65,66.05,66.25,66.81,67.43
69,Jawa Timur ,Bondowoso,59.47,60.46,62.24,63.21,63.43,63.95,64.52,64.75,65.27,66.09,66.43,66.59,67.31,67.99
70,Sulawesi Selatan ,Bone,59.69,60.21,60.77,61.4,62.09,63.11,63.86,64.16,65.04,65.67,66.06,66.4,67.01,67.81
71,Gorontalo,Bone Bolango,64,64.44,65.13,65.82,66.03,66.83,67.48,68.11,69.06,69.63,69.98,70.25,70.9,71.51
72,Kalimantan Timur ,Bontang,76.97,77.25,77.55,78.34,78.58,78.78,78.92,79.47,79.86,80.09,80.02,80.59,80.94,81.56
73,Papua,Boven Digoel,56.15,56.89,57.45,57.96,58.21,59.02,59.35,60.14,60.83,61.51,61.53,61.62,62.52,63.46
74,Jawa Tengah,Boyolali,68.76,69.14,69.51,69.81,70.34,71.74,72.18,72.64,73.22,73.8,74.25,74.4,74.97,75.41
75,Jawa Tengah,Brebes,59.49,60.51,60.92,61.87,62.55,63.18,63.98,64.86,65.68,66.12,66.11,66.32,67.03,67.95
76,Bali,Buleleng,66.98,67.73,68.29,68.83,69.16,70.03,70.65,71.11,71.7,72.3,72.55,72.56,73.45,73.97
77,Sulawesi Selatan ,Bulukumba,62.73,63.36,63.82,64.27,65.24,65.58,66.46,67.08,67.7,68.28,68.99,69.62,70.34,71.21
