id,district,categorical_count_2022,mosaic_cropland_2022,rainfed_cropland_2022,sparse_vegetation_2022,categorical_urban_2022,irrigated_cropland_2022,count_2022,categorical_count_2021,mosaic_cropland_2021,rainfed_cropland_2021,sparse_vegetation_2021,categorical_urban_2021,water_bodies_2021,forest_2021,irrigated_cropland_2021,count_2021,categorical_count_2020,mosaic_cropland_2020,rainfed_cropland_2020,sparse_vegetation_2020,categorical_urban_2020,irrigated_cropland_2020,count_2020,categorical_count_2019,mosaic_cropland_2019,rainfed_cropland_2019,sparse_vegetation_2019,categorical_urban_2019,irrigated_cropland_2019,count_2019,categorical_count_2018,mosaic_cropland_2018,rainfed_cropland_2018,sparse_vegetation_2018,categorical_urban_2018,irrigated_cropland_2018,count_2018,categorical_count_2017,mosaic_cropland_2017,rainfed_cropland_2017,sparse_vegetation_2017,categorical_urban_2017,irrigated_cropland_2017,count_2017,categorical_count_2016,mosaic_cropland_2016,rainfed_cropland_2016,sparse_vegetation_2016,categorical_urban_2016,irrigated_cropland_2016,count_2016,categorical_count_2015,mosaic_cropland_2015,rainfed_cropland_2015,sparse_vegetation_2015,categorical_urban_2015,irrigated_cropland_2015,count_2015,categorical_count_2014,mosaic_cropland_2014,rainfed_cropland_2014,sparse_vegetation_2014,categorical_urban_2014,irrigated_cropland_2014,count_2014,categorical_count_2013,mosaic_cropland_2013,rainfed_cropland_2013,sparse_vegetation_2013,categorical_urban_2013,irrigated_cropland_2013,count_2013,categorical_count_2012,mosaic_cropland_2012,rainfed_cropland_2012,sparse_vegetation_2012,categorical_urban_2012,irrigated_cropland_2012,count_2012,categorical_count_2011,mosaic_cropland_2011,rainfed_cropland_2011,sparse_vegetation_2011,categorical_urban_2011,irrigated_cropland_2011,count_2011,categorical_count_2010,mosaic_cropland_2010,rainfed_cropland_2010,sparse_vegetation_2010,categorical_urban_2010,irrigated_cropland_2010,count_2010
10,Aceh Utara,28652,15636,4674,17,168,56,28728.39258,28652,15645,4678,17,164,859,7233,56,28728.39258,28652,15611,4741,17,163,57,28728.39063,28652,15590,4739,17,162,57,28728.39063,28652,15493,4698,15,162,57,28728.39063,28652,15378,4561,9,162,57,28728.39063,28652,15332,4471,1,162,57,28728.39063,28652,15269,4399,1,162,57,28728.39063,28652,15269,4408,1,153,57,28728.39063,28652,15180,4323,1,127,57,28728.39063,28652,15154,4307,1,92,57,28728.39063,28652,15109,4302,1,86,57,28728.39063,28652,15110,4307,1,80,57,28728.39063
11,Agam,23545,7778,1417,27,619,5,23622.5918,23545,7765,1415,27,618,1049,12666,5,23622.5918,23545,7775,1414,27,614,5,23622.5918,23545,7684,1426,26,588,5,23622.5918,23545,7669,1422,26,588,5,23622.5918,23545,7517,1412,22,588,5,23622.5918,23545,7439,1398,22,587,5,23622.5918,23545,7540,1400,22,587,5,23622.5918,23545,7545,1420,22,561,5,23622.5918,23545,7727,1485,22,496,5,23622.5918,23545,7745,1535,22,436,5,23622.5918,23545,7692,1549,22,423,5,23622.5918,23545,7632,1553,10,417,2,23622.5918
12,Alor,31330,10987,3392,2545,102,40,31440.38086,31330,10961,3379,2545,102,599,13699,40,31440.38086,31330,11021,3373,2544,102,40,31440.37964,31330,11026,3378,2549,70,43,31440.37964,31330,10944,3368,2549,62,44,31440.37964,31330,10916,3366,2549,62,44,31440.37964,31330,10873,3362,2549,62,44,31440.37964,31330,10723,3330,2537,61,43,31440.37964,31330,10723,3330,2537,61,43,31440.37964,31330,10669,3303,2536,61,43,31440.37964,31330,10694,3304,2536,61,43,31440.37964,31330,10658,3299,2536,60,43,31440.37964,31330,10638,3295,2536,60,43,31440.37964
13,Asahan,39866,22422,2831,0,248,0,39938.37891,39866,22554,2865,0,233,208,14006,0,39938.37891,39866,22948,2880,0,228,0,39938.37894,39866,22916,2876,0,228,0,39938.37894,39866,23551,2921,0,228,0,39938.37894,39866,23728,2917,0,228,0,39938.37894,39866,23733,2917,0,228,0,39938.37894,39866,23715,2914,0,228,0,39938.37894,39866,23719,2945,0,191,0,39938.37894,39866,24463,2986,0,156,0,39938.37894,39866,25018,2998,0,145,0,39938.37894,39866,25049,2999,0,139,0,39938.37894,39866,25046,3001,0,136,0,39938.37894
14,Asmat,264612,9027,1142,1,7,65,264785.6797,264612,8865,1137,1,7,8619,245918,65,264785.6797,264612,8543,1125,0,7,59,264785.6653,264612,7272,1040,0,7,46,264785.6653,264612,7068,998,0,7,46,264785.6653,264612,6966,985,0,7,46,264785.6653,264612,6956,987,0,7,46,264785.6653,264612,6955,980,0,7,41,264785.6653,264612,6955,980,0,7,41,264785.6653,264612,7079,972,0,7,42,264785.6653,264612,7208,976,0,7,42,264785.6653,264612,7249,959,0,7,42,264785.6653,264612,7258,956,0,7,42,264785.6653
15,Badung,4204,790,1831,71,575,6,4256.759766,4204,831,1927,71,412,106,851,6,4256.759766,4204,836,1949,72,384,6,4256.759766,4204,845,2000,72,316,13,4256.759766,4204,845,2011,72,315,13,4256.759766,4204,845,2011,72,315,13,4256.759766,4204,845,2011,72,315,13,4256.759766,4204,849,2035,72,314,13,4256.759766,4204,852,2043,73,302,13,4256.759766,4204,858,2099,77,220,13,4256.759766,4204,863,2131,79,172,15,4256.759766,4204,863,2138,83,158,15,4256.759766,4204,861,2133,86,145,19,4256.759766
16,Balangan,20051,8411,445,39,467,2,20093.7207,20051,8368,439,39,465,4,10734,2,20093.7207,20051,8361,430,39,464,2,20093.7207,20051,8390,431,39,442,2,20093.7207,20051,8384,433,39,417,2,20093.7207,20051,8386,435,39,375,2,20093.7207,20051,8364,442,39,327,2,20093.7207,20051,8269,515,26,214,2,20093.7207,20051,8269,515,26,214,2,20093.7207,20051,8273,516,26,198,2,20093.7207,20051,8285,519,26,153,2,20093.7207,20051,8290,523,26,137,2,20093.7207,20051,8290,527,26,133,2,20093.7207
17,Bandung,18598,6261,1528,261,2685,1,18680.62109,18598,6343,1552,271,2548,602,7278,1,18680.62109,18598,6358,1557,275,2518,1,18680.62109,18598,6537,1785,315,2027,8,18680.62109,18598,6516,1788,314,2011,8,18680.62109,18598,6520,1783,314,2011,8,18680.62109,18598,6524,1783,314,2008,8,18680.62109,18598,6594,1795,314,2006,8,18680.62109,18598,6610,1807,317,1974,8,18680.62109,18598,6802,1821,325,1926,8,18680.62109,18598,6822,1830,334,1883,8,18680.62109,18598,6841,1840,338,1843,8,18680.62109,18598,6878,1852,344,1809,6,18680.62109
18,Bandung Barat,13539,4637,1348,175,887,9,13607.71094,13539,4674,1375,186,800,563,5932,9,13607.71094,13539,4628,1393,192,764,9,13607.71094,13539,4691,1450,210,623,9,13607.71094,13539,4663,1450,211,620,9,13607.71094,13539,4654,1449,211,619,9,13607.71094,13539,4661,1448,211,619,9,13607.71094,13539,4689,1451,211,619,9,13607.71094,13539,4694,1455,211,608,9,13607.71094,13539,4807,1461,213,575,9,13607.71094,13539,4838,1476,218,521,9,13607.71094,13539,4847,1484,221,492,9,13607.71094,13539,4907,1487,224,480,9,13607.71094
19,Banggai,87623,19748,3814,48,606,45,87775.22656,87623,19701,3822,48,587,882,62538,45,87775.22656,87623,19503,3819,48,580,45,87775.23096,87623,19292,3800,47,579,45,87775.23096,87623,18869,3765,40,577,45,87775.23096,87623,18825,3739,40,577,45,87775.23096,87623,18626,3698,40,576,43,87775.23096,87623,18250,3079,27,576,33,87775.23096,87623,18252,3079,27,573,33,87775.23096,87623,18094,3048,27,568,32,87775.23096,87623,18051,3038,27,560,30,87775.23096,87623,17882,3035,27,559,30,87775.23096,87623,17655,3035,27,557,30,87775.23096
