id,district,categorical_count_2022,mosaic_cropland_2022,rainfed_cropland_2022,sparse_vegetation_2022,categorical_urban_2022,irrigated_cropland_2022,count_2022,categorical_count_2021,mosaic_cropland_2021,rainfed_cropland_2021,sparse_vegetation_2021,categorical_urban_2021,water_bodies_2021,forest_2021,irrigated_cropland_2021,count_2021,categorical_count_2020,mosaic_cropland_2020,rainfed_cropland_2020,sparse_vegetation_2020,categorical_urban_2020,irrigated_cropland_2020,count_2020,categorical_count_2019,mosaic_cropland_2019,rainfed_cropland_2019,sparse_vegetation_2019,categorical_urban_2019,irrigated_cropland_2019,count_2019,categorical_count_2018,mosaic_cropland_2018,rainfed_cropland_2018,sparse_vegetation_2018,categorical_urban_2018,irrigated_cropland_2018,count_2018,categorical_count_2017,mosaic_cropland_2017,rainfed_cropland_2017,sparse_vegetation_2017,categorical_urban_2017,irrigated_cropland_2017,count_2017,categorical_count_2016,mosaic_cropland_2016,rainfed_cropland_2016,sparse_vegetation_2016,categorical_urban_2016,irrigated_cropland_2016,count_2016,categorical_count_2015,mosaic_cropland_2015,rainfed_cropland_2015,sparse_vegetation_2015,categorical_urban_2015,irrigated_cropland_2015,count_2015,categorical_count_2014,mosaic_cropland_2014,rainfed_cropland_2014,sparse_vegetation_2014,categorical_urban_2014,irrigated_cropland_2014,count_2014,categorical_count_2013,mosaic_cropland_2013,rainfed_cropland_2013,sparse_vegetation_2013,categorical_urban_2013,irrigated_cropland_2013,count_2013,categorical_count_2012,mosaic_cropland_2012,rainfed_cropland_2012,sparse_vegetation_2012,categorical_urban_2012,irrigated_cropland_2012,count_2012,categorical_count_2011,mosaic_cropland_2011,rainfed_cropland_2011,sparse_vegetation_2011,categorical_urban_2011,irrigated_cropland_2011,count_2011,categorical_count_2010,mosaic_cropland_2010,rainfed_cropland_2010,sparse_vegetation_2010,categorical_urban_2010,irrigated_cropland_2010,count_2010
99,Ende,22017,7290,1116,422,76,42,22083,22017,7246,1118,422,74,174,12941,42,22083,22017,7221,1113,426,72,42,22083,22017,7181,1114,426,69,42,22083,22017,7041,1109,426,69,42,22083,22017,7023,1107,426,69,42,22083,22017,7036,1107,426,69,42,22083,22017,7097,1108,426,69,42,22083,22017,7097,1110,426,65,42,22083,22017,7203,1103,426,63,41,22083,22017,7206,1104,426,62,41,22083,22017,7201,1104,426,60,41,22083,22017,7294,1110,426,54,41,22083
100,Enrekang,19247,8911,2520,18,25,0,19294.04883,19247,9127,2531,18,15,14,7537,0,19294.04883,19247,9269,2538,18,7,0,19294.04883,19247,9361,2538,18,7,0,19294.04883,19247,9474,2541,18,7,0,19294.04883,19247,9496,2541,18,7,0,19294.04883,19247,9494,2540,18,7,0,19294.04883,19247,9418,2478,18,7,0,19294.04883,19247,9418,2482,18,3,0,19294.04883,19247,9352,2478,18,3,0,19294.04883,19247,9339,2479,18,2,0,19294.04883,19247,9309,2479,18,2,0,19294.04883,19247,9311,2480,18,2,0,19294.04883
101,Fakfak,115828,4393,1233,3148,38,0,116061.2998,115828,4332,1244,3148,37,1391,105621,0,116061.2998,115828,4381,1239,3148,37,0,116061.2877,115828,4279,1218,3125,35,0,116061.2877,115828,4069,1125,3121,35,0,116061.2877,115828,3996,1073,3116,35,0,116061.2877,115828,3916,971,3097,35,0,116061.2877,115828,3727,941,3088,35,0,116061.2877,115828,3727,942,3088,34,0,116061.2877,115828,3669,937,3069,34,0,116061.2877,115828,3662,936,3069,34,0,116061.2877,115828,3638,936,3069,34,0,116061.2877,115828,3632,936,3069,34,0,116061.2877
102,Flores Timur,18583,6388,945,1030,134,7,18705.26953,18583,6476,943,1031,133,291,9702,7,18705.26953,18583,6596,945,1034,129,7,18705.27014,18583,6584,945,1027,129,7,18705.27014,18583,6495,943,1027,129,7,18705.27014,18583,6431,943,1028,129,7,18705.27014,18583,6425,943,1029,129,7,18705.27014,18583,6414,943,1029,129,7,18705.27014,18583,6414,943,1029,129,7,18705.27014,18583,6702,943,1029,129,7,18705.27014,18583,6702,943,1029,129,7,18705.27014,18583,6689,940,1028,129,7,18705.27014,18583,6687,940,1028,129,7,18705.27014
103,Garut,32792,13128,1838,278,746,6,32867.94922,32792,13053,1843,299,668,51,16867,6,32867.94922,32792,12936,1843,311,645,6,32867.95288,32792,12936,1848,319,623,6,32867.95288,32792,12859,1849,315,621,6,32867.95288,32792,12880,1849,315,621,6,32867.95288,32792,12984,1852,315,621,6,32867.95288,32792,13295,1875,315,621,6,32867.95288,32792,13308,1882,317,599,6,32867.95288,32792,13844,1892,322,561,6,32867.95288,32792,13859,1898,325,538,7,32867.95288,32792,13858,1903,330,519,7,32867.95288,32792,13863,1907,334,501,8,32867.95288
104,Gayo Lues,57517,4574,2100,72,21,19,57606.86719,57517,4630,2100,72,18,0,50638,19,57606.86719,57517,4584,2095,72,18,19,57606.86719,57517,4526,2066,72,17,19,57606.86719,57517,4328,1968,65,17,19,57606.86719,57517,3972,1933,61,17,19,57606.86719,57517,3925,1931,60,17,19,57606.86719,57517,3917,1930,52,17,19,57606.86719,57517,3917,1931,52,16,19,57606.86719,57517,3767,1895,45,16,19,57606.86719,57517,3753,1895,44,13,19,57606.86719,57517,3753,1896,44,12,19,57606.86719,57517,3769,1903,46,11,19,57606.86719
105,Gianyar,3895,826,1669,5,186,0,3914.669922,3895,869,1709,6,91,26,1194,0,3914.669922,3895,872,1716,6,81,0,3914.669922,3895,872,1725,7,71,0,3914.669922,3895,872,1725,7,71,0,3914.669922,3895,872,1725,7,71,0,3914.669922,3895,872,1722,7,71,0,3914.669922,3895,871,1720,4,71,0,3914.669922,3895,872,1724,5,65,0,3914.669922,3895,874,1725,6,49,0,3914.669922,3895,877,1728,8,41,0,3914.669922,3895,879,1727,9,38,0,3914.669922,3895,879,1728,10,36,0,3914.669922
106,Gorontalo,22790,10109,5168,0,105,21,22853.66016,22790,10140,5202,0,66,261,7100,21,22853.66016,22790,10179,5215,0,49,21,22853.66016,22790,10175,5215,0,49,21,22853.66016,22790,10123,5215,0,49,21,22853.66016,22790,10048,5195,0,49,21,22853.66016,22790,10044,5195,0,49,21,22853.66016,22790,10002,5194,0,49,21,22853.66016,22790,10002,5195,0,48,21,22853.66016,22790,9904,5202,0,46,19,22853.66016,22790,9893,5201,0,44,17,22853.66016,22790,9886,5194,0,43,16,22853.66016,22790,9822,5195,0,42,16,22853.66016
107,Gorontalo Utara,17909,5529,1332,0,21,0,18014.45898,17909,5520,1323,0,21,224,10821,0,18014.45898,17909,5496,1289,0,21,0,18014.46008,17909,5508,1292,0,21,0,18014.46008,17909,5488,1256,0,21,0,18014.46008,17909,5469,1228,0,21,0,18014.46008,17909,5451,1193,0,21,0,18014.46008,17909,5353,1185,0,21,0,18014.46008,17909,5353,1185,0,21,0,18014.46008,17909,5168,1177,0,21,0,18014.46008,17909,5168,1177,0,21,0,18014.46008,17909,5112,1162,0,21,0,18014.46008,17909,5092,1153,0,21,0,18014.46008
108,Gowa,19085,2927,9380,56,926,41,19152.52148,19085,2957,9494,56,880,143,5512,41,19152.52148,19085,2964,9524,56,857,41,19152.52148,19085,2965,9525,57,845,42,19152.52148,19085,2957,9492,55,843,41,19152.52148,19085,2948,9480,54,843,41,19152.52148,19085,2949,9482,54,836,42,19152.52148,19085,2940,9472,53,834,42,19152.52148,19085,2947,9477,53,822,42,19152.52148,19085,3064,9591,53,742,45,19152.52148,19085,3079,9671,53,659,46,19152.52148,19085,3087,9719,53,598,46,19152.52148,19085,3092,9762,53,543,46,19152.52148
109,Gresik,13282,1096,5903,484,1202,229,13367.59961,13282,1123,6010,500,1074,3086,1263,226,13367.59961,13282,1123,6049,502,1034,226,13367.60022,13282,1120,6101,510,969,225,13367.60022,13282,1149,6132,515,925,226,13367.60022,13282,1142,6138,517,915,226,13367.60022,13282,1143,6155,521,893,226,13367.60022,13282,1143,6160,525,882,223,13367.60022,13282,1143,6185,529,848,224,13367.60022,13282,1088,6322,540,681,228,13367.60022,13282,1091,6453,548,533,229,13367.60022,13282,1092,6490,551,488,229,13367.60022,13282,1091,6506,552,468,229,13367.60022
110,Grobogan,21548,1332,19156,326,392,29,21612.43945,21548,1335,19308,331,232,31,282,29,21612.43945,21548,1335,19321,331,215,29,21612.43945,21548,1335,19323,331,213,29,21612.43945,21548,1335,19323,331,213,29,21612.43945,21548,1335,19323,331,213,29,21612.43945,21548,1335,19323,331,213,29,21612.43945,21548,1335,19323,331,213,29,21612.43945,21548,1336,19327,332,207,29,21612.43945,21548,1340,19343,332,187,29,21612.43945,21548,1341,19350,332,179,29,21612.43945,21548,1341,19350,332,179,29,21612.43945,21548,1341,19352,332,177,29,21612.43945
111,Gunung Kidul,15670,5677,4491,3875,37,0,15723.9707,15670,5636,4475,3885,27,71,1576,0,15723.9707,15670,5598,4476,3928,26,0,15723.9707,15670,5596,4471,3932,22,0,15723.9707,15670,5596,4471,3932,22,0,15723.9707,15670,5596,4471,3932,22,0,15723.9707,15670,5596,4471,3932,22,0,15723.9707,15670,5647,4490,3932,22,0,15723.9707,15670,5647,4490,3933,21,0,15723.9707,15670,5647,4491,3937,16,0,15723.9707,15670,5647,4491,3938,15,0,15723.9707,15670,5647,4491,3939,14,0,15723.9707,15670,5647,4491,3939,14,0,15723.9707
112,Gunung Mas,106392,23986,6808,420,3,13,106477.2734,106392,23870,6749,417,3,57,75282,13,106477.2734,106392,23724,6517,402,2,13,106477.2769,106392,22922,6436,390,2,13,106477.2769,106392,22564,6335,347,2,13,106477.2769,106392,22294,6057,265,2,13,106477.2769,106392,22259,5686,223,2,12,106477.2769,106392,22824,5136,110,2,11,106477.2769,106392,22824,5136,110,2,11,106477.2769,106392,22844,4926,101,2,11,106477.2769,106392,23056,4915,101,2,11,106477.2769,106392,22737,4698,89,2,11,106477.2769,106392,22408,4358,80,2,11,106477.2769
113,Halmahera Barat,22944,944,27,0,36,0,23043.29883,22944,937,27,0,34,181,21765,0,23043.29883,22944,934,26,0,33,0,23043.30078,22944,917,26,0,32,0,23043.30078,22944,925,26,0,30,0,23043.30078,22944,942,26,0,30,0,23043.30078,22944,941,27,0,28,0,23043.30078,22944,895,27,0,27,0,23043.30078,22944,896,27,0,25,0,23043.30078,22944,789,27,0,25,0,23043.30078,22944,789,27,0,25,0,23043.30078,22944,789,27,0,25,0,23043.30078,22944,763,27,0,25,0,23043.30078
114,Halmahera Selatan,85908,2787,897,236,43,0,86449.8472,85908,2757,890,236,35,1465,80525,0,86449.8472,85908,2636,891,236,29,0,86449.83923,85908,2578,891,236,29,0,86449.83923,85908,2407,847,235,29,0,86449.83923,85908,2286,816,235,29,0,86449.83923,85908,2245,796,235,29,0,86449.83923,85908,1945,463,173,29,0,86449.83923,85908,1946,463,173,28,0,86449.83923,85908,1681,299,166,25,0,86449.83923,85908,1687,295,166,24,0,86449.83923,85908,1700,297,166,22,0,86449.83923,85908,1725,297,166,22,0,86449.83923
115,Halmahera Tengah,23835,818,657,425,24,2,24006.79102,23835,801,631,423,18,295,21665,2,24006.79102,23835,800,629,423,18,2,24006.79005,23835,754,610,423,17,2,24006.79005,23835,726,593,422,17,2,24006.79005,23835,709,576,421,17,2,24006.79005,23835,709,573,395,17,2,24006.79005,23835,635,254,152,17,0,24006.79005,23835,635,255,152,16,0,24006.79005,23835,605,215,149,16,0,24006.79005,23835,605,215,149,16,0,24006.79005,23835,605,215,149,16,0,24006.79005,23835,605,215,149,16,0,24006.79005
116,Halmahera Timur,68120,2661,1187,114,12,3,68248.07813,68120,2625,1187,114,12,236,63943,3,68248.07813,68120,2537,1184,114,12,3,68248.07861,68120,2487,1147,114,12,3,68248.07861,68120,2208,1099,114,12,3,68248.07861,68120,2037,1069,113,12,3,68248.07861,68120,2000,1060,113,12,3,68248.07861,68120,1724,708,21,12,3,68248.07861,68120,1725,708,21,11,3,68248.07861,68120,1663,706,21,9,3,68248.07861,68120,1664,706,21,7,3,68248.07861,68120,1667,706,21,7,3,68248.07861,68120,1659,706,21,7,3,68248.07861
117,Halmahera Utara,36619,4879,234,0,148,19,36773.22266,36619,4872,234,0,136,318,31040,19,36773.22266,36619,4850,234,0,128,18,36773.21899,36619,4788,241,0,116,19,36773.21899,36619,4422,238,0,114,19,36773.21899,36619,4362,237,0,114,19,36773.21899,36619,4270,237,0,114,19,36773.21899,36619,3822,237,0,114,19,36773.21899,36619,3822,237,0,114,19,36773.21899,36619,3686,237,0,109,19,36773.21899,36619,3701,237,0,107,19,36773.21899,36619,3681,237,0,102,19,36773.21899,36619,3658,237,0,101,19,36773.21899
118,Hulu Sungai Selatan,17885,8957,4331,1236,72,45,17938.45117,17885,8976,4336,1236,72,141,3072,45,17938.45117,17885,8983,4343,1237,72,45,17938.45117,17885,9029,4343,1237,61,45,17938.45117,17885,9039,4346,1236,52,45,17938.45117,17885,9039,4346,1236,52,45,17938.45117,17885,9025,4346,1236,46,45,17938.45117,17885,8877,4346,1236,46,45,17938.45117,17885,8877,4346,1236,46,45,17938.45117,17885,8876,4345,1229,44,45,17938.45117,17885,8876,4345,1229,43,45,17938.45117,17885,8876,4345,1229,43,45,17938.45117,17885,8862,4335,1207,43,45,17938.45117
119,Hulu Sungai Tengah,17531,6603,2722,24,29,10,17573.40039,17531,6594,2725,24,27,387,7764,10,17573.40039,17531,6730,2815,32,27,10,17573.40039,17531,6741,2815,32,27,10,17573.40039,17531,6730,2813,32,27,10,17573.40039,17531,6710,2803,32,27,8,17573.40039,17531,6709,2803,32,27,8,17573.40039,17531,6555,2803,32,27,8,17573.40039,17531,6556,2803,32,26,8,17573.40039,17531,6531,2806,32,23,8,17573.40039,17531,6512,2806,32,23,8,17573.40039,17531,6512,2806,32,23,8,17573.40039,17531,6512,2807,32,22,8,17573.40039
120,Hulu Sungai Utara,9388,3284,2742,94,57,12,9417.510742,9388,3322,2737,94,57,493,2656,12,9417.510742,9388,3428,2756,94,56,12,9417.510742,9388,3425,2752,94,56,7,9417.510742,9388,3402,2667,94,56,6,9417.510742,9388,3346,2592,94,56,6,9417.510742,9388,3345,2588,94,56,6,9417.510742,9388,3312,2605,93,56,6,9417.510742,9388,3312,2606,93,55,6,9417.510742,9388,3288,2584,84,53,6,9417.510742,9388,3288,2584,83,53,6,9417.510742,9388,3289,2584,80,52,6,9417.510742,9388,3287,2582,70,51,6,9417.510742
121,Humbang Hasundutan,26658,7510,811,911,12,0,26726.40039,26658,7516,805,911,12,16,17395,0,26726.40039,26658,7507,802,911,12,0,26726.40039,26658,7498,802,911,12,0,26726.40039,26658,7450,801,911,12,0,26726.40039,26658,7406,799,894,12,0,26726.40039,26658,7355,792,894,12,0,26726.40039,26658,7269,764,812,12,0,26726.40039,26658,7269,764,812,12,0,26726.40039,26658,7247,752,778,11,0,26726.40039,26658,7206,748,769,10,0,26726.40039,26658,7197,750,769,9,0,26726.40039,26658,7090,748,762,8,0,26726.40039
122,Indragiri Hilir,141479,48632,39229,978,284,22,141691.4868,141479,48516,39005,978,278,2490,50190,22,141691.4868,141479,48433,38718,978,277,22,141691.4614,141479,48373,38464,926,276,19,141691.4614,141479,48365,38311,893,276,19,141691.4614,141479,48281,37913,491,276,19,141691.4614,141479,48209,37791,306,276,19,141691.4614,141479,48034,37620,174,276,18,141691.4614,141479,48035,37621,174,273,19,141691.4614,141479,47963,37175,168,258,11,141691.4614,141479,48108,37196,167,246,11,141691.4614,141479,48157,36952,165,244,11,141691.4614,141479,48278,36922,163,236,11,141691.4614
123,Indragiri Hulu,84254,50760,3510,724,21,0,84359.03906,84254,51114,3514,724,19,235,28648,0,84359.03906,84254,52217,3528,724,19,0,84359.04199,84254,52124,3523,668,19,0,84359.04199,84254,52112,3523,626,19,0,84359.04199,84254,52075,3530,626,19,0,84359.04199,84254,51972,3530,608,18,0,84359.04199,84254,51603,3517,585,18,0,84359.04199,84254,51604,3518,585,16,0,84359.04199,84254,51233,3513,581,15,0,84359.04199,84254,51149,3512,579,12,0,84359.04199,84254,50830,3509,573,12,0,84359.04199,84254,49470,3454,567,10,0,84359.04199
124,Indramayu,22080,481,16263,112,1324,1451,22141.40039,22080,481,16323,112,1259,1139,1311,1455,22141.40039,22080,482,16379,114,1199,1453,22141.40039,22080,482,16390,114,1187,1454,22141.40039,22080,482,16391,114,1186,1454,22141.40039,22080,482,16393,114,1185,1456,22141.40039,22080,482,16394,114,1185,1456,22141.40039,22080,482,16396,114,1181,1462,22141.40039,22080,482,16436,116,1136,1465,22141.40039,22080,482,16607,118,948,1475,22141.40039,22080,482,16712,118,840,1478,22141.40039,22080,482,16730,118,822,1478,22141.40039,22080,482,16735,118,816,1479,22141.40039
125,Intan Jaya,48826,687,4,2,2,0,48953.43359,48826,650,4,2,2,0,48162,0,48953.43359,48826,216,4,2,2,0,48953.43042,48826,216,4,2,2,0,48953.43042,48826,172,4,2,2,0,48953.43042,48826,169,4,2,2,0,48953.43042,48826,163,4,2,2,0,48953.43042,48826,163,4,2,2,0,48953.43042,48826,163,4,2,2,0,48953.43042,48826,163,4,2,2,0,48953.43042,48826,163,4,2,2,0,48953.43042,48826,163,4,2,2,0,48953.43042,48826,163,4,2,2,0,48953.43042
126,Jayapura,151290,5151,2052,190,97,0,151440.5,151290,5112,2067,190,71,1344,142506,0,151440.5,151290,4901,2050,192,62,0,151440.4917,151290,4699,1970,192,56,0,151440.4917,151290,4082,1629,192,50,0,151440.4917,151290,3995,1537,192,50,0,151440.4917,151290,3980,1528,192,50,0,151440.4917,151290,4008,1659,191,50,0,151440.4917,151290,4008,1660,191,49,0,151440.4917,151290,3828,1578,189,49,0,151440.4917,151290,3726,1547,189,49,0,151440.4917,151290,3484,1506,189,49,0,151440.4917,151290,3420,1497,189,49,0,151440.4917
127,Jayawijaya,27838,6132,416,623,0,4,27898.94922,27838,6135,416,622,0,25,19816,4,27898.94922,27838,6132,416,618,0,4,27898.94775,27838,6131,416,618,0,4,27898.94775,27838,6110,416,618,0,4,27898.94775,27838,6107,416,618,0,4,27898.94775,27838,6107,416,618,0,4,27898.94775,27838,6108,416,615,0,4,27898.94775,27838,6108,416,615,0,4,27898.94775,27838,6157,418,615,0,4,27898.94775,27838,6256,418,615,0,4,27898.94775,27838,6287,418,616,0,4,27898.94775,27838,6287,418,616,0,4,27898.94775
128,Jember,35155,10346,9488,77,414,8,35263.35547,35155,10347,9482,84,398,140,14696,8,35263.35547,35155,10354,9486,85,395,8,35263.36133,35155,10336,9477,86,390,9,35263.36133,35155,10326,9406,86,390,9,35263.36133,35155,10321,9393,86,390,9,35263.36133,35155,10321,9393,86,390,9,35263.36133,35155,10385,9445,86,389,9,35263.36133,35155,10394,9458,95,358,9,35263.36133,35155,10464,9508,104,323,10,35263.36133,35155,10456,9509,105,321,10,35263.36133,35155,10436,9502,107,315,11,35263.36133,35155,10417,9500,107,314,11,35263.36133
129,Jembrana,9085,942,1038,5,53,4,9116.990234,9085,946,996,5,46,105,6983,4,9116.990234,9085,941,982,5,45,4,9116.990234,9085,895,976,7,40,4,9116.990234,9085,846,958,7,40,4,9116.990234,9085,852,961,7,40,4,9116.990234,9085,852,961,7,40,4,9116.990234,9085,852,961,7,40,4,9116.990234,9085,852,962,7,39,4,9116.990234,9085,855,924,9,33,1,9116.990234,9085,855,922,10,30,1,9116.990234,9085,855,921,11,28,1,9116.990234,9085,853,922,11,27,1,9116.990234
130,Jeneponto,8432,751,2133,114,4971,45,8473.790039,8432,752,2133,114,4971,105,312,45,8473.790039,8432,771,2139,115,4968,45,8473.790039,8432,772,2144,118,4958,46,8473.790039,8432,772,2144,118,4958,46,8473.790039,8432,772,2144,118,4958,46,8473.790039,8432,773,2145,120,4953,46,8473.790039,8432,774,2147,120,4949,46,8473.790039,8432,780,2158,120,4930,46,8473.790039,8432,790,2185,121,4895,46,8473.790039,8432,798,2207,127,4857,46,8473.790039,8432,801,2242,128,4816,46,8473.790039,8432,806,2300,129,4750,46,8473.790039
131,Jepara,10834,3100,3162,90,445,70,10907.16016,10834,3064,3192,107,386,330,3684,71,10907.16016,10834,3029,3198,111,366,73,10907.16058,10834,3027,3198,111,366,73,10907.16058,10834,3027,3198,111,366,73,10907.16058,10834,3027,3198,111,366,73,10907.16058,10834,3045,3199,111,366,73,10907.16058,10834,3045,3198,111,366,73,10907.16058,10834,3046,3199,111,363,73,10907.16058,10834,3077,3231,135,269,74,10907.16058,10834,3005,3233,137,243,74,10907.16058,10834,2979,3210,138,241,75,10907.16058,10834,2946,3208,140,238,75,10907.16058
132,Jombang,11905,1597,7927,186,1265,2,11942.43945,11905,1597,7979,186,1213,26,902,2,11942.43945,11905,1597,7990,186,1202,2,11942.43945,11905,1599,8008,186,1184,2,11942.43945,11905,1599,8009,186,1183,2,11942.43945,11905,1601,8009,186,1183,2,11942.43945,11905,1604,8009,186,1183,2,11942.43945,11905,1614,8009,186,1183,2,11942.43945,11905,1635,8197,188,969,2,11942.43945,11905,1630,8352,189,793,2,11942.43945,11905,1645,8474,189,656,2,11942.43945,11905,1666,8538,189,571,2,11942.43945,11905,1675,8594,189,506,2,11942.43945
133,Kaimana,170464,999,218,0,167,0,170819.7494,170464,961,216,0,167,7660,161460,0,170819.7494,170464,921,118,0,167,0,170819.7473,170464,745,111,0,162,0,170819.7473,170464,545,106,0,162,0,170819.7473,170464,529,102,0,162,0,170819.7473,170464,526,102,0,162,0,170819.7473,170464,525,102,0,162,0,170819.7473,170464,525,102,0,162,0,170819.7473,170464,524,101,0,162,0,170819.7473,170464,524,101,0,162,0,170819.7473,170464,524,101,0,162,0,170819.7473,170464,524,101,0,162,0,170819.7473
134,Kampar,112999,58643,13337,128,260,12,113169.8359,112999,58398,13310,119,175,968,40017,12,113169.8359,112999,58165,13104,103,138,2,113169.838,112999,58053,13014,99,138,2,113169.838,112999,58015,12952,94,137,2,113169.838,112999,57633,12867,93,136,2,113169.838,112999,57348,12716,91,136,2,113169.838,112999,57084,12584,69,131,2,113169.838,112999,57088,12597,69,114,2,113169.838,112999,56916,12584,65,92,2,113169.838,112999,56749,12561,48,83,2,113169.838,112999,56341,12491,38,75,0,113169.838,112999,55796,12427,38,69,0,113169.838
135,Kapuas,182230,42852,15462,5610,122,68,182432.811,182230,42999,15226,5598,118,1432,116232,61,182432.811,182230,43081,14720,5576,115,53,182432.799,182230,42595,14494,5527,112,44,182432.799,182230,42227,14288,5330,112,41,182432.799,182230,40846,14143,5253,112,40,182432.799,182230,40454,14068,5157,112,40,182432.799,182230,39355,13844,2338,112,40,182432.799,182230,39355,13848,2338,108,40,182432.799,182230,38356,13627,2176,85,41,182432.799,182230,38302,13525,2110,82,41,182432.799,182230,37788,13292,2049,80,41,182432.799,182230,37686,13015,2020,80,41,182432.799
136,Kapuas Hulu,327690,43337,4532,829,159,0,327902.4375,327690,43283,4482,811,157,4702,269807,0,327902.4375,327690,43034,4388,785,157,0,327902.4511,327690,42591,4302,764,155,0,327902.4511,327690,42239,4198,635,155,0,327902.4511,327690,41742,4126,602,155,0,327902.4511,327690,41589,4106,597,155,0,327902.4511,327690,41513,4054,590,151,0,327902.4511,327690,41513,4054,590,151,0,327902.4511,327690,40168,3892,510,151,0,327902.4511,327690,39945,3763,492,151,0,327902.4511,327690,39131,3486,356,151,0,327902.4511,327690,38303,3296,252,151,0,327902.4511
137,Karang Asem,8945,1041,2250,227,644,0,8971.480469,8945,1039,2210,227,639,78,4752,0,8971.480469,8945,1038,2188,227,637,0,8971.480469,8945,1041,2150,227,627,0,8971.480469,8945,1046,2150,227,627,0,8971.480469,8945,1047,2171,227,627,0,8971.480469,8945,1051,2217,227,627,0,8971.480469,8945,1051,2234,227,627,0,8971.480469,8945,1060,2241,227,610,0,8971.480469,8945,1087,2201,232,594,0,8971.480469,8945,1093,2204,235,585,0,8971.480469,8945,1093,2207,237,579,0,8971.480469,8945,1094,2209,240,571,0,8971.480469
138,Karanganyar,8536,3752,1890,376,702,1,8579.649414,8536,3762,1902,378,687,24,1782,1,8579.649414,8536,3784,1904,378,685,1,8579.649414,8536,3785,1911,379,675,1,8579.649414,8536,3785,1911,379,675,1,8579.649414,8536,3789,1911,379,675,1,8579.649414,8536,3798,1911,380,675,1,8579.649414,8536,3803,1911,380,675,1,8579.649414,8536,3810,1927,405,626,1,8579.649414,8536,3820,1961,419,546,0,8579.649414,8536,3826,1983,422,515,0,8579.649414,8536,3829,1996,428,493,0,8579.649414,8536,3830,1999,431,482,0,8579.649414
139,Karawang,20273,1866,9864,21,5413,372,20337.38086,20273,1866,9905,21,5385,961,1762,373,20337.38086,20273,1808,9979,21,5370,374,20337.38086,20273,1813,10053,21,5273,381,20337.38086,20273,1819,10078,23,5240,382,20337.38086,20273,1819,10085,23,5233,382,20337.38086,20273,1822,10095,23,5220,382,20337.38086,20273,1847,10114,23,5203,382,20337.38086,20273,1847,10198,23,5107,392,20337.38086,20273,1846,10300,23,4989,399,20337.38086,20273,1851,10406,23,4867,408,20337.38086,20273,1852,10447,23,4820,411,20337.38086,20273,1853,10484,23,4776,414,20337.38086
140,Karimun,9685,1407,3741,8,140,7,9897.839844,9685,1412,3730,8,135,506,3887,7,9897.839844,9685,1403,3698,8,134,7,9897.839859,9685,1397,3669,8,132,7,9897.839859,9685,1396,3669,8,131,7,9897.839859,9685,1397,3669,8,130,7,9897.839859,9685,1397,3668,8,129,7,9897.839859,9685,1403,3689,8,128,7,9897.839859,9685,1403,3689,8,128,7,9897.839859,9685,1372,3632,8,114,2,9897.839859,9685,1372,3668,8,77,2,9897.839859,9685,1358,3643,8,66,2,9897.839859,9685,1358,3636,8,64,2,9897.839859
141,Karo,22934,11589,3140,166,106,6,23008.07031,22934,11617,3144,166,103,20,7874,6,23008.07031,22934,11663,3147,166,100,6,23008.07031,22934,11666,3150,166,100,6,23008.07031,22934,11677,3138,166,100,6,23008.07031,22934,11654,3136,158,100,0,23008.07031,22934,11603,3130,158,100,0,23008.07031,22934,11573,3091,123,100,0,23008.07031,22934,11573,3096,123,95,0,23008.07031,22934,11546,2943,123,81,0,23008.07031,22934,11530,2962,123,60,0,23008.07031,22934,11518,2966,123,56,0,23008.07031,22934,11520,2974,123,48,0,23008.07031
142,Katingan,204394,34958,6604,3307,155,3,204594.6209,204394,34984,6532,3273,155,1658,157711,3,204594.6209,204394,34722,6392,3242,155,3,204594.6462,204394,33683,6205,3191,155,3,204594.6462,204394,32820,6112,2937,155,3,204594.6462,204394,31661,5955,2836,155,3,204594.6462,204394,31402,5956,2800,155,3,204594.6462,204394,30529,5797,1585,155,3,204594.6462,204394,30529,5797,1585,155,3,204594.6462,204394,30607,5788,1325,155,3,204594.6462,204394,30581,5761,1256,154,3,204594.6462,204394,30201,5593,1029,154,3,204594.6462,204394,29956,5506,959,153,3,204594.6462
143,Kaur,26833,6025,424,0,3,0,26901.74805,26833,5970,426,0,1,66,20370,0,26901.74805,26833,5719,426,0,0,0,26901.75104,26833,5858,425,0,0,0,26901.75104,26833,5821,415,0,0,0,26901.75104,26833,5695,413,0,0,0,26901.75104,26833,5633,413,0,0,0,26901.75104,26833,5561,409,0,0,0,26901.75104,26833,5561,409,0,0,0,26901.75104,26833,5676,409,0,0,0,26901.75104,26833,5667,409,0,0,0,26901.75104,26833,5492,407,0,0,0,26901.75104,26833,5398,403,0,0,0,26901.75104
144,Kayong Utara,48657,10711,3431,434,6,0,48793.17188,48657,10620,3421,434,6,548,33628,0,48793.17188,48657,10600,3403,433,6,0,48793.16935,48657,10556,3299,394,6,0,48793.16935,48657,10526,3194,367,6,0,48793.16935,48657,10441,3035,350,6,0,48793.16935,48657,10387,3007,350,6,0,48793.16935,48657,10111,2942,260,6,0,48793.16935,48657,10111,2942,260,6,0,48793.16935,48657,9571,2838,204,6,0,48793.16935,48657,9182,2732,193,5,0,48793.16935,48657,8756,2710,149,5,0,48793.16935,48657,8630,2645,148,5,0,48793.16935
