id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,gdpc2020,gdpc2021,,,,,,,,
24,Bangka Belitung Islands,Bangka Barat," 6,816,096 "," 7,191,751 "," 7,586,484 "," 7,972,792 "," 8,349,260 "," 8,769,643 "," 9,190,201 "," 9,673,709 "," 10,177,199 "," 10,895,223 "," 10,312,212 "," 10,332,996 ",,,,,,,,
25,Bangka Belitung Islands,Bangka Selatan," 4,169,513 "," 4,437,323 "," 4,646,026 "," 4,852,974 "," 5,068,267 "," 5,284,642 "," 5,511,788 "," 5,763,871 "," 6,024,205 "," 6,176,845 "," 6,057,876 "," 6,276,798 ",,,,,,,,
26,Bangka Belitung Islands,Bangka Tengah," 4,502,396 "," 4,773,137 "," 5,012,863 "," 5,178,285 "," 5,255,773 "," 5,271,867 "," 5,432,844 "," 5,620,615 "," 5,812,697 "," 5,883,096 "," 5,715,596 "," 5,987,137 ",,,,,,,,
27,East Java,Bangkalan," 15,881,409 "," 16,406,521 "," 16,173,679 "," 16,204,006 "," 17,369,226 "," 16,906,845 "," 17,018,647 "," 17,618,601 "," 18,361,440 "," 18,550,799 "," 17,514,617 "," 17,152,779 ",,,,,,,,
28,Bali,Bangli," 2,747,457 "," 2,916,143 "," 3,097,058 "," 3,281,162 "," 3,472,303 "," 3,686,101 "," 3,916,096 "," 4,124,222 "," 4,350,145 "," 4,587,222 "," 4,399,192 "," 4,384,726 ",,,,,,,,
29,South Kalimantan,Banjar," 7,605,086 "," 8,158,855 "," 8,670,838 "," 9,069,628 "," 9,530,725 "," 9,950,521 "," 10,418,681 "," 10,903,968 "," 11,450,220 "," 11,967,129 "," 11,732,659 "," 44,236,766 ",,,,,,,,
30,Central Java,Banjarnegara," 9,439,359 "," 9,952,404 "," 10,473,363 "," 11,043,083 "," 11,629,846 "," 12,266,046 "," 12,932,885 "," 13,663,267 "," 14,438,150 "," 15,246,866 "," 15,045,885 "," 15,536,478 ",,,,,,,,
31,South Sulawesi ,Bantaeng," 2,696,299 "," 2,949,289 "," 3,234,459 "," 3,525,612 "," 3,819,276 "," 4,073,060 "," 4,374,215 "," 4,694,158 "," 5,075,837 "," 5,621,523 "," 5,650,535 "," 6,151,447 ",,,,,,,,
32,Special Region Yogyakarta ,Bantul," 12,114,059 "," 12,728,666 "," 13,407,022 "," 14,138,719 "," 14,851,124 "," 15,588,520 "," 16,375,513 "," 17,209,872 "," 18,150,877 "," 19,155,274 "," 18,839,369 "," 19,781,893 ",,,,,,,,
33,South Sumatera,Banyu Asin," 12,313,184 "," 12,980,038 "," 13,777,763 "," 14,628,960 "," 15,380,589 "," 16,236,002 "," 17,192,415 "," 18,060,420 "," 18,981,996 "," 19,973,435 "," 19,999,574 "," 20,767,642 ",,,,,,,,
